user_id,item_id,interaction_order,user_community,item_community
0,379,1,3,4
0,248,2,3,3
0,103,3,3,3
0,164,4,3,4
0,51,5,3,1
0,101,6,3,1
0,586,7,3,1
0,83,8,3,3
0,203,9,3,3
0,598,10,3,3
0,117,11,3,2
0,7,12,3,2
0,104,13,3,4
0,548,14,3,3
0,473,15,3,3
0,393,16,3,3
0,518,17,3,3
0,483,18,3,3
0,230,19,3,0
0,510,20,3,0
1,503,1,3,3
1,459,2,3,4
1,36,3,3,1
1,488,4,3,3
1,186,5,3,1
1,243,6,3,3
1,292,7,3,2
1,443,8,3,3
1,103,9,3,3
1,273,10,3,3
1,63,11,3,3
1,582,12,3,2
1,189,13,3,4
1,208,14,3,3
1,548,15,3,3
1,538,16,3,3
1,248,17,3,3
1,73,18,3,3
1,479,19,3,4
1,409,20,3,4
2,294,1,4,4
2,74,2,4,4
2,104,3,4,4
2,94,4,4,4
2,252,5,4,2
2,434,6,4,4
2,229,7,4,4
2,492,8,4,2
2,441,9,4,1
2,151,10,4,1
2,121,11,4,1
2,439,12,4,4
2,497,13,4,2
2,69,14,4,4
2,199,15,4,4
2,440,16,4,0
2,129,17,4,4
2,210,18,4,0
2,274,19,4,4
2,595,20,4,0
3,392,1,1,2
3,47,2,1,2
3,491,3,1,1
3,22,4,1,2
3,160,5,1,0
3,185,6,1,0
3,1,7,1,1
3,324,8,1,4
3,261,9,1,1
3,36,10,1,1
3,490,11,1,0
3,352,12,1,2
3,413,13,1,3
3,326,14,1,1
3,225,15,1,0
3,152,16,1,2
3,286,17,1,1
3,206,18,1,1
3,311,19,1,1
3,445,20,1,0
4,540,1,2,0
4,72,2,2,2
4,353,3,2,3
4,104,4,2,4
4,122,5,2,2
4,81,6,2,1
4,67,7,2,2
4,213,8,2,3
4,358,9,2,3
4,78,10,2,3
4,61,11,2,1
4,192,12,2,2
4,242,13,2,2
4,212,14,2,2
4,537,15,2,2
4,564,16,2,4
4,517,17,2,2
4,162,18,2,2
4,130,19,2,0
4,34,20,2,4
5,531,1,3,1
5,231,2,3,1
5,265,3,3,0
5,196,4,3,1
5,93,5,3,3
5,256,6,3,1
5,227,7,3,2
5,393,8,3,3
5,117,9,3,2
5,260,10,3,0
5,242,11,3,2
5,358,12,3,3
5,347,13,3,2
5,78,14,3,3
5,189,15,3,4
5,578,16,3,3
5,235,17,3,0
5,213,18,3,3
5,355,19,3,0
5,548,20,3,3
6,435,1,1,0
6,28,2,1,3
6,347,3,1,2
6,393,4,1,3
6,326,5,1,1
6,569,6,1,4
6,385,7,1,0
6,2,8,1,2
6,22,9,1,2
6,556,10,1,1
6,259,11,1,4
